App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
War Dragons,Others,3.9,160604.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
CV-Library Job Search,BUSINESS,4.4,,46.0,100000.0,Free,0.0,Everyone,No,No,No
Surah Al-Waqiah,BOOKS_AND_REFERENCE,,1201.0,29.0,100000.0,Free,0.0,Everyone,Yes,No,No
Ay,Others,,11.0,36.0,5000.0,Free,0.0,Teen,Yes,No,No
EA Plus,Others,2.5,12.0,12.0,1000.0,Free,0.0,Everyone,No,No,No
Bt Notifier -Smartwatch notice,TOOLS,2.8,632.0,82.0,500000.0,Free,0.0,Everyone,No,No,No
SAMURAI vs ZOMBIES DEFENSE,GAME,4.5,312204.0,19.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
EM Launcher Pro,PERSONALIZATION,4.2,35.0,0.024,1000.0,Paid,3.99,Everyone,No,No,No
Draw In,GAME,4.2,46416.0,73.0,10000000.0,Free,0.0,Everyone,Yes,Yes,No
PUBG MOBILE LITE,Others,4.2,312204.0,270.0,19970000.0,Free,0.0,Teen,Yes,No,Yes
Fernanfloo,GAME,4.8,312204.0,49.0,10000000.0,Free,0.0,Everyone 10+,Yes,Yes,No
GUN ZOMBIE,GAME,4.4,243121.0,38.0,5000000.0,Free,0.0,Teen,Yes,Yes,No
Connect'Em Halloween,FAMILY,4.5,6673.0,44.0,500000.0,Free,0.0,Everyone,Yes,No,No
Happy Birthday Songs Offline,Others,4.4,464.0,89.0,100000.0,Free,0.0,Everyone,Yes,No,No
Chelsea FC Official Keyboard,PRODUCTIVITY,4.5,91397.0,14.0,1000000.0,Free,0.0,Everyone,Yes,No,No
DC HSEMA,BOOKS_AND_REFERENCE,3.8,38.0,72.0,5000.0,Free,0.0,Everyone,No,No,No
Tap N Pay,PRODUCTIVITY,4.4,253.0,82.0,10000.0,Free,0.0,Everyone,No,No,No
Tech CU Card Manager,FINANCE,1.0,2.0,72.0,1000.0,Free,0.0,Everyone,No,No,No
H-Kakashi - theme Xperia™,PERSONALIZATION,4.6,621.0,54.0,50000.0,Free,0.0,Everyone,No,No,No
"Calculator - free calculator ,multi calculator app",TOOLS,4.4,1236.0,58.0,100000.0,Free,0.0,Everyone,Yes,No,No
Gun Strike Shoot,GAME,4.1,94761.0,17.0,10000000.0,Free,0.0,Teen,Yes,No,No
SINoALICE ーシノアリスー,Others,4.1,85182.0,270.0,1000000.0,Free,0.0,Mature 17+,No,Yes,Yes
NetClient CS,BUSINESS,3.5,125.0,43.0,10000.0,Free,0.0,Everyone,No,No,No
Tour BD (Bahir Dar Map),Others,4.9,49.0,39.0,100.0,Free,0.0,Everyone,Yes,No,No
Pokémon GO,GAME,4.1,312204.0,85.0,19970000.0,Free,0.0,Everyone,No,Yes,Yes
JOBS.bg,BUSINESS,4.4,1630.0,22.0,100000.0,Free,0.0,Everyone,Yes,No,No
BTFIT: Online Personal Trainer - Fitness Class,HEALTH_AND_FITNESS,3.9,11372.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Last Shelter: Survival,GAME,4.4,93033.0,98.0,5000000.0,Free,0.0,Teen,No,Yes,Yes
Video Downloader for Facebook,TOOLS,4.6,312204.0,31.0,19970000.0,Free,0.0,Teen,Yes,Yes,No
BC Pizza,LIFESTYLE,2.3,3.0,26.0,500.0,Free,0.0,Everyone,No,No,No
U get - Wireless Speed Test,TOOLS,4.2,26.0,22.0,5000.0,Free,0.0,Everyone,No,No,No
Self-help Anxiety Management,HEALTH_AND_FITNESS,4.0,2894.0,23.0,500000.0,Free,0.0,Everyone 10+,No,No,No
DEER HUNTER CLASSIC,GAME,4.4,312204.0,77.0,19970000.0,Free,0.0,Teen,Yes,Yes,No
Butterfly Live Wallpaper,PERSONALIZATION,4.1,35771.0,35.0,5000000.0,Free,0.0,Everyone,Yes,No,No
Diamond Zipper Lock Screen,PERSONALIZATION,4.3,71688.0,12.0,10000000.0,Free,0.0,Everyone,Yes,No,No
